Mbinned,Rbinned,loc,scale,invdeg,skew
89926995656948.4,0.25,0.042792966404311635,0.7090469158754044,0.051247445374124685,0.1039754783742271
89926995656948.4,0.75,-0.08111057985472565,0.6054428594836433,0.026361029085391455,0.018951223785676957
89926995656948.4,1.25,-0.09248720523453176,0.48009354038775254,0.03247730742653995,-0.030523615796134256
89926995656948.4,1.75,-0.32401624743484486,0.4582380839272398,0.058156974090337585,0.22174553679632467
89926995656948.4,2.25,-0.38260395347153414,0.44634647435862873,0.14650666703423984,0.09761363462803582
89926995656948.4,2.75,-0.3157696098587653,0.4212513958809574,0.1937597793261132,-0.00782516758914946
89926995656948.4,3.25,-0.22089172935200285,0.4306031731050085,0.19369120955755192,-0.02921337958398436
89926995656948.4,3.75,-0.1617590418054761,0.4245655641316464,0.17038757346092148,-0.07796094441845686
89926995656948.4,4.25,-0.027445558147340877,0.4190303560867868,0.17914568445508583,0.07659613694625547
89926995656948.4,4.75,-0.0007249852364801107,0.4220493823390844,0.19369120955755192,-0.060799015062143136
89926995656948.4,5.25,0.09605274365937652,0.420056905211261,0.2001900846007858,-0.025783372374775924
89926995656948.4,5.75,0.11866045425504299,0.4167578603703397,0.16693599126071573,-0.09637080722040982
89926995656948.4,6.25,0.19383096107370645,0.4186125390977603,0.164914098664799,-0.08006742871748856
89926995656948.4,6.75,0.2340502770211913,0.4108476196809969,0.16125384402263843,-0.17938449073104049
89926995656948.4,7.25,0.27143771705795633,0.4106685357159685,0.1216175808848961,-0.23193377909873594
89926995656948.4,7.75,0.3443656276425342,0.4115171154372955,0.16215444266648768,-0.12367302853106382
89926995656948.4,8.25,0.4328418991913313,0.42010100568757014,0.16677151981784918,-0.10024128386358075
89926995656948.4,8.75,0.47387594665446764,0.4184745769748893,0.16710267143224242,-0.12233167804373957
89926995656948.4,9.25,0.5052900305326349,0.4210293083026983,0.15350135203336981,-0.1638643140897872
89926995656948.4,9.75,0.5613809405062187,0.4288868288809842,0.1414407070863198,-0.23460444335528585
89926995656948.4,10.25,0.598240997351123,0.4233168497497163,0.11913523150701921,-0.22155709335292909
89926995656948.4,10.75,0.6959781030568308,0.4112641757336325,0.15063915691206278,-0.0802112021138204
89926995656948.4,11.25,0.7507800059882266,0.41943347806485687,0.14238729356728272,-0.1148656048626369
89926995656948.4,11.75,0.7962065713453964,0.427666364933877,0.1216175808848961,-0.1524525743851584
89926995656948.4,12.25,0.8864660378187397,0.424623250461259,0.1724160037520661,-0.04998495944992101
89926995656948.4,12.75,0.9081441843598435,0.42799701027124326,0.1179450156495289,-0.25125753498424064
89926995656948.4,13.25,0.9442719099991581,0.4327041779849591,0.14608825860445654,-0.1537213808751181
89926995656948.4,13.75,1.0281162486576123,0.4337442003264126,0.13924186028295124,-0.08852463154109161
89926995656948.4,14.25,1.0617247001729284,0.42715479930495376,0.14865893738705616,-0.1286458475975586
89926995656948.4,14.75,1.1357370760551193,0.4377923069352108,0.13718312557439657,-0.05472586188878421
89926995656948.4,15.25,1.1632956777557144,0.45994801930987655,0.10462861729376707,-0.11050895746496332
